"period","adm_AEX_hoog","adm_AEX_laag","adm_AEX_open","adm_AEX_sluit","adm_AEX_volume","adm_AMX_hoog","adm_AMX_laag","adm_AMX_open","adm_AMX_sluit","adm_SP500_hoog","adm_SP500_laag","adm_SP500_open","adm_SP500_sluit","adm_SP500_volume","arb_beroepsbevolking_totaal","arb_beroepsbevolking_werkloos","arb_beroepsbevolking_werkzaam","arb_cao_lonen_totaal","arb_cao_loonkosten_totaal","arb_uitkering_bijstand","arb_uitkering_ongeschiktheid","arb_uitkering_werkloos","arb_werkloosheidspercentage","ind_consumentenvertrouwen","ind_CPI_afgeleid_diensten","ind_CPI_afgeleid_energie","ind_CPI_afgeleid_goederen","ind_CPI_afgeleid_inflatie_diensten","ind_CPI_afgeleid_inflatie_energie","ind_CPI_afgeleid_inflatie_goederen","ind_CPI_afgeleid_inflatie_kern","ind_CPI_afgeleid_inflatie_totaal","ind_CPI_afgeleid_inflatie_voeding","ind_CPI_afgeleid_inflatie_woninghuur","ind_CPI_afgeleid_kern","ind_CPI_afgeleid_totaal","ind_CPI_afgeleid_voeding","ind_CPI_afgeleid_woninghuur","ind_CPI_diensten","ind_CPI_energie","ind_CPI_goederen","ind_CPI_inflatie_diensten","ind_CPI_inflatie_energie","ind_CPI_inflatie_goederen","ind_CPI_inflatie_kern","ind_CPI_inflatie_totaal","ind_CPI_inflatie_voeding","ind_CPI_inflatie_woninghuur","ind_CPI_kern","ind_CPI_totaal","ind_CPI_voeding","ind_CPI_woninghuur","ind_economisch_klimaat","ind_economische_situatie_toekomst","ind_economische_situatie_verleden","ind_EICP","ind_EICP_inflatie","ind_faillissementen","ind_financiele_situatie_toekomst","ind_financiele_situatie_verleden","ind_grote_aankopen","ind_HICP","ind_HICP_inflatie","ind_koopbereidheid","ind_MUICP","ind_MUICP_inflatie","ind_PPI_afzetprijzen_binnenland_basismetalen","ind_PPI_afzetprijzen_binnenland_chemie","ind_PPI_afzetprijzen_binnenland_delfstoffenwinning","ind_PPI_afzetprijzen_binnenland_gas_elektriciteit","ind_PPI_afzetprijzen_binnenland_machines","ind_PPI_afzetprijzen_binnenland_voeding","ind_PPI_afzetprijzen_buitenland_basismetalen","ind_PPI_afzetprijzen_buitenland_chemie","ind_PPI_afzetprijzen_buitenland_delfstoffenwinning","ind_PPI_afzetprijzen_buitenland_gas_elektriciteit","ind_PPI_afzetprijzen_buitenland_machines","ind_PPI_afzetprijzen_buitenland_voeding","ind_PPI_invoerprijzen_basismetalen","ind_PPI_invoerprijzen_chemie","ind_PPI_invoerprijzen_delfstoffenwinning","ind_PPI_invoerprijzen_gas_elektriciteit","ind_PPI_invoerprijzen_machines","ind_PPI_invoerprijzen_voeding","ind_PPI_verbruiksprijzen_basismetalen","ind_PPI_verbruiksprijzen_chemie","ind_PPI_verbruiksprijzen_delfstoffenwinning","ind_PPI_verbruiksprijzen_gas_elektriciteit","ind_PPI_verbruiksprijzen_machines","ind_PPI_verbruiksprijzen_voeding","ind_producentenvertrouwen_sectorC","int_invoer_goederen_brandstoffen","int_invoer_goederen_chemische_producten","int_invoer_goederen_dranken_tabak","int_invoer_goederen_fabricaten","int_invoer_goederen_gefabriceerd","int_invoer_goederen_grondstoffen","int_invoer_goederen_machines","int_invoer_goederen_niet_afzonderlijk_genoemd","int_invoer_goederen_niet_fysiek","int_invoer_goederen_olien","int_invoer_goederen_totaal","int_invoer_goederen_voeding_levende_dieren","int_invoer_prijs_index","int_invoer_prijs_inflatie","int_invoer_volume_index","int_invoer_volume_inflatie","int_invoer_waarde_index","int_invoer_waarde_inflatie","int_ruilvoet_index","int_ruilvoet_inflatie","int_uitvoer_goederen_brandstoffen","int_uitvoer_goederen_chemische_producten","int_uitvoer_goederen_dranken_tabak","int_uitvoer_goederen_fabricaten","int_uitvoer_goederen_gefabriceerd","int_uitvoer_goederen_grondstoffen","int_uitvoer_goederen_machines","int_uitvoer_goederen_niet_afzonderlijk_genoemd","int_uitvoer_goederen_niet_fysiek","int_uitvoer_goederen_olien","int_uitvoer_goederen_totaal","int_uitvoer_goederen_voeding_levende_dieren","int_uitvoer_prijs_index","int_uitvoer_prijs_inflatie","int_uitvoer_volume_index","int_uitvoer_volume_inflatie","int_uitvoer_waarde_index","int_uitvoer_waarde_inflatie","prd_productie_index_aardolie_en_aardgaswinning","prd_productie_index_basismetalen","prd_productie_index_chemie","prd_productie_index_delfstoffenwinning","prd_productie_index_gas_en_elektriciteit","prd_productie_index_industrie","prd_productie_index_machines","prd_productie_index_nijverheid_en_energie","prd_productie_index_voeding","rwk_Amerikaanse_dollar_euro","rwk_basisherfinancieringsrente_flexibel","rwk_basisherfinancieringsrente_vast","rwk_Britse_pond_euro","rwk_Chinese_yuan_euro","rwk_depositorente","rwk_Euribor_1_jaar","rwk_Euribor_1_maand","rwk_Euribor_3_maanden","rwk_Euribor_6_maanden","rwk_Japanse_yen_euro","rwk_marginale_beleningsrente","wnm_aantal_verkochte_koopwoningen_bestaand","wnm_bouwvergunning_recreatiewoningen","wnm_bouwvergunning_woningen","wnm_bouwvergunning_wooneenheden","wnm_gemiddelde_verkoopprijs_koopwoningen_bestaand","wnm_huizenprijsindex_inflatie_koopwoningen_bestaand","wnm_huizenprijsindex_koopwoningen_bestaand","wnm_totale_verkoopprijs_koopwoningen_bestaand","wnm_voorraad_niet_woningen_Nederland","wnm_voorraad_niet_woningen_Noord_Nederland","wnm_voorraad_niet_woningen_Oost_Nederland","wnm_voorraad_niet_woningen_West_Nederland","wnm_voorraad_niet_woningen_Zuid_Nederland","wnm_voorraad_woningen_Nederland","wnm_voorraad_woningen_Noord_Nederland","wnm_voorraad_woningen_Oost_Nederland","wnm_voorraad_woningen_West_Nederland","wnm_voorraad_woningen_Zuid_Nederland"
"1981M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981M10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
